country,code,year,region,incgroup,kyoto,co2_pc,co2_gdp,ghse,gdp_pc,gdp_g,gdp_g5,unem,gobexp,hmcd,lendborr,fiscrev,expfuel,tourism,daysbus,imp,exp,tradebal,urbanpop,denspop,minexp,lifexp,school,elec_pc,pop,pop_g,inf,rir,capform,ind_work,savings,cer_yield,agr_prod,fert_cons,forest,energy_gdp,surface,elect_rnw,natrent,minrent,gasrent,forrent,coalrent,energy_pc,fossil_use,agr_va,agr_emp,pol_syst,pol_or,pol_dem,cci,ind_va,serv_emp,oilrent,gasrent,impfuel
Central African Republic,CAF,2003,Sub-Saharan Africa,Low income,1,0.060468193,0.060528662,532900.056,999.0009747,-5.397485219,2.778393212,4.489999771,,,,,0,,22,17.99522216,18.23600384,0.240781673,37.884,6.230025041,36.5638935,44.182,67.35006714,,3881181,2.057857877,,,6.404792507,7.849999905,,1009.5,91.02,0.000167539,36.6191531,6.880780213,622980,76.36363636,11.74748301,0.003396602,0,11.74408641,0,0,64.14482681,0,75.16999817,Presidential,Right,-1,-1.160548,0,16.97999954,0,0,11.02317657
Canada,CAN,2003,North America,High income,0,17.47884132,0.444110837,951373.04,39356.93491,3.811090153,3.302492324,7.570000172,18.10116954,1.743518794,1.109878535,13.27575327,16.12060141,3.717524742,3.5,33.09080817,36.9964577,3.905649527,79.967,3.529497557,4.452123404,79.74146341,,17208.52352,31644028,0.901372739,2.758563214,3.386864715,20.53911128,22.96999931,22.4970678,2758.8,64.24,66.66769277,38.77692846,8.990512106,9879750,58.91556496,3.003847794,0.1830133,1.60094292,0.131490711,0.074445607,17208.52352,,1.810020979,2.109999895,Parliamentary,Left,10,1.986542,28.30490188,74.91999817,1.013955256,1.60094292,6.369935739
Switzerland,CHE,2003,Europe & Central Asia,High income,1,5.476765434,0.094361771,54552.7522,58040.08723,0.039576572,2.019294355,4.119999886,18.82274028,1.0043527,-0.804544742,9.210599402,2.011543463,6.054467023,20,41.42145809,48.10844317,6.68698508,73.427,185.6987677,3.066626041,80.53658537,104.018158,8195.120835,7339001,0.741919603,0.638298911,,23.06345157,22.44000053,33.10207301,5086.5,93.01,203.3693782,30.55950001,3.036591086,41290,54.72477064,0.018426768,0,0,0.018426768,0,8195.120835,76.54703877,0.910374831,4.239999771,Parliamentary,NA,10,2.06927,26.11352903,73.33000183,0,0,5.184267364
Channel Islands,CHI,2003,Europe & Central Asia,High income,0,,,,,-3.202156942,1.612934321,5.989999771,,,,,,,,,,,30.619,757.9191919,,79.795,,,150068,0.315019749,,,,32.63999939,,,,,4.47979798,,198,0,0,0,,0,,,83.95075142,,4.230000019,,NA,,,0,63.13999939,NA,NA,0
Chile,CHL,2003,Latin America & Caribbean,High income,1,3.508135131,0.208378353,94236.304,16835.41063,4.091047685,3.129887919,9.770000458,19.55755617,3.236664736,-0.440670159,15.94896337,2.863204506,4.897461918,42,30.65724111,35.65904551,5.001804404,86.665,21.31670459,41.03246383,77.146,99.72118378,2897.79233,15849652,1.048038262,2.810178757,1.529870591,21.04101861,23.39999962,22.10428654,5390,82.68,330.1426667,21.63931075,4.36281735,756096,50.15695402,7.622699574,6.984655099,0.046688787,0.561379835,9.49E-06,2897.79233,53.7761111,4.455067681,13.60000038,Presidential,Right,9,1.311239,33.41272034,63,0.029966366,0.046688787,19.02453365
China,CHN,2003,East Asia & Pacific,Upper middle income,1,3.524074093,0.800775751,6226962.5,4400.825183,10.03803048,8.293412192,4.599999905,,1.85455293,,,2.536175349,4.194618398,,24.82323147,26.98075653,2.157525068,39.776,136.7046209,1.593803193,72.381,,1379.484632,1288400000,0.622860936,1.127601961,2.638146636,39.62013059,21.60000038,42.67615638,4875.8,68.17,330.8037479,19.53202806,9.994209983,9599999.7,15.03704033,2.092796806,0.141710509,0.07665681,0.240689051,0.311380458,1379.484632,,12.34899897,49.09999847,Assembly-Elected President,Left,-7,-0.359454,45.62278485,29.29999924,1.322359979,0.07665681,7.527571408
Cote d'Ivoire,CIV,2003,Sub-Saharan Africa,Lower middle income,1,0.310243409,0.083464883,22407.145,3717.053187,-1.359535943,0.586707358,5.179999828,14.29486426,,-2.191946631,13.3776189,9.299659341,,62,33.37607442,41.89141613,8.515341715,44.399,55.34468553,0.157326473,49.572,71.86367035,174.3788641,17599610,2.11353752,3.29680747,,9.079177833,11.86999989,,1827,66.71,29.34535714,14.95531132,5.78367537,322460,36.01336741,3.563536526,0.036866006,0.195727187,2.678591862,0,174.3788641,74.56344116,28.78085502,50.68999863,Presidential,NA,0,-0.9799138,21.07352104,37.43999863,0.652351471,0.195727187,17.29288868
Cameroon,CMR,2003,Sub-Saharan Africa,Lower middle income,1,0.225901762,0.078186128,167009.843,2889.281873,4.567195256,4.190594094,5.900000095,,5.963977221,,,48.8033998,8.484668013,45,25.71369995,20.92778439,-4.785915563,47.338,35.54158998,4.157542997,51.908,100.92099,167.1342517,16800865,2.673762976,0.623163557,,22.68191208,10.23999977,15.68888758,1619.9,46.07,8.155201342,45.24631804,6.576277719,475440,95.76547231,5.878917379,0.013304471,0,3.029831312,0,167.1342517,83.22975774,15.90761058,64.04000092,Presidential,NA,-4,-0.9788169,26.89209665,25.71999931,2.835781596,0,11.58572909
"Congo, Dem. Rep.",COD,2003,Sub-Saharan Africa,Low income,1,0.020821622,0.028424,748084.2,732.5366714,5.577822311,-2.391526007,2.920000076,,,,,,,166.5,30.03091314,24.00044304,-6.030470105,36.526,22.68391963,,52.144,,90.20802488,51425580,3.068268818,12.87396572,,9.524554843,8.090000153,,771.5,46.9,0.275223881,62.58353367,24.36618,2344860,99.88612331,29.44441105,0.338096987,0,27.75374898,0,90.20802488,32.50144051,26.05383881,72.80999756,,NA,1,-1.4042,28.85793841,19.10000038,1.352565092,0,0
"Congo, Rep.",COG,2003,Sub-Saharan Africa,Lower middle income,0,0.269084528,0.060317514,34876.586,4461.134257,0.813264075,3.423161153,20.03000069,19.5450881,,5.452628211,8.647504676,,1.05981093,37.5,76.04941174,80.8123656,4.762953859,60.076,9.976345534,,53.817,97.9595108,114.7663492,3406922,2.874414339,-0.631844987,,26.09032417,23.72999954,41.68350959,780.7,72.07,,64.88726208,2.504057872,342000,85.71428571,34.75341539,0.000553696,,6.52549545,0,114.7663492,16.64589756,6.275223939,41.00999832,Presidential,Left,-4,-1.010288,61.17235948,35.27000046,28.22736624,NA,0
Colombia,COL,2003,Latin America & Caribbean,Upper middle income,1,1.384189812,0.147441824,162980.741,9388.04049,3.918271904,0.694501821,14.18999958,27.62228172,56.70396437,-5.04967006,11.25882686,37.19035402,7.569876048,44,19.94088381,16.57529971,-3.365584094,75.211,37.38969986,1.012556523,73.777,,876.4128864,41483872,1.477721528,7.130741686,7.823797978,18.68181902,18.56999969,15.94108607,3615.9,82.18,324.809629,56.02270122,2.963413884,1141750,78.788595,4.626446328,0.453797167,0.113131833,0.155687457,0.012841364,876.4128864,2.015286661,8.328774165,21.54999924,Presidential,Center,7,-0.1789923,28.90378013,59.88000107,3.890988507,0.113131833,1.786400203
Comoros,COM,2003,Sub-Saharan Africa,Lower middle income,0,0.226353755,0.080343575,387.33211,2817.322425,2.103871636,3.742531017,4.610000134,,,,,,25.93478862,,26.92082925,8.836129879,-18.08469937,27.947,313.3858141,,59.738,110.3323517,,583211,2.382713421,3.799081367,6.394622004,18.0423216,14.25,4.446893082,1310.8,86.57,,21.69048898,4.650740112,1861,0,1.660173064,0,0,1.660173064,0,0,32.50949847,29.37612727,56.36000061,,NA,4,-0.8556129,12.20627867,29.38999939,0,0,2.391772472
